Neighborhood,Ward,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density
Harsul,1,11304,6548,4756,726,1257,2894.8,3
Bhagatsingh Nagar,2,16339,8015,8324,1039,2786,232.38,70
Mhasoba Nagar,2,15245,8658,6587,761,4275,365.5,41
Radhaswami Colony,3,10226,5374,4852,903,2238,295.12,34
Ambar Hill,4,21406,11586,9820,848,4002,458.7,46
Begumpura,5,9003,4341,4662,1074,1655,485.05,18
Pahadsingpura,5,6715,3514,3201,911,1244,758.5,8
Bhimnagar,6,7595,3872,3723,962,1596,68.72,110
Padegaon,7,12411,6200,6211,1002,1410,89.57,138
Mitmita,8,22443,11651,10792,926,4497,757.5,29
Bhavshingpura,9,10928,5396,5532,1025,2296,237.59,45
Nandanvan Colony,10,6129,2843,3286,1156,796,661.06,9
Shantipura,10,3279,1868,1411,755,968,398.2,8
Jaisinghpura,11,7866,4283,3583,837,1269,478.13,16
Arif Colony,12,3780,1925,1855,964,510,94.8,39
Pragati Housing Society,12,6876,3445,3431,996,1301,241,28
Bharat Mata Nagar,13,10361,5387,4974,923,1817,92.13,112
Rauza Bagh,13,9208,4521,4687,1037,1201,13.2,697
Honaji Nagar,14,10133,5222,4911,940,2026,147.17,68
Wankhede Nagar,14,6876,3445,3431,996,968,32.1,214
Yadav Nagar,15,8283,4322,3961,916,1848,201.84,41
Mayur Park,16,9446,4963,4483,903,2156,63.85,147
S.T.Colony,17,9679,5068,4611,910,2170,222.5,43
Misarwadi,18,9901,5235,4666,891,2319,66.43,149
Aarati Nagar,19,9096,4817,4279,888,2122,34.39,264
Naregaon,20,9102,4677,4425,946,1714,36.92,246
Aurangabad Airport,21,23420,12210,11210,918,4401,177.7,131
Savitri Nagar,21,4895,2478,2417,975,423,18.2,268
Kasliwal Poorva Housing Society,22,12907,6792,6115,900,2659,67.76,190
Cidco N-1,23,17537,8757,8780,1003,2144,31.4,558
MIDC Chikalthana,23,14523,7534,6989,928,2814,36.94,393
Ambedkarnagar,24,9709,5005,4704,940,2142,61.33,158
Pawan Nagar,25,9773,5085,4688,922,2240,61.35,159
Mayur Nagar,26,10019,5100,4919,965,1668,33.18,301
Sudarshan Nagar,26,10581,5563,5018,902,2360,15.36,688
Swami Vivekanand Nagar,27,11858,6169,5689,922,2129,67.52,175
Ganesh Colony,28,11986,6068,5918,975,2015,247.04,48
Chelipura,29,13502,6965,6537,939,2318,1421.94,9
Lota Karanja,30,8259,4163,4096,984,1432,81.45,101
Asifiya Colony,31,10245,5245,5000,953,1244,140.5,72
Jaibhim Nagar,31,10237,5135,5102,994,1763,250.71,40
Bhadkal gate,32,14000,7501,6499,866,1345,90.2,155
Buddi lane,32,11523,5915,5608,948,1943,110.82,103
Kotwalpura,33,10234,5270,4964,942,1984,24.54,417
Khadkeshwar,34,10109,5135,4974,969,1946,33.78,299
Mill Corner,34,7307,3969,3338,841,1416,7.65,955
Gulmandi,35,9194,4632,4562,985,1659,43.14,213
Diwan Devadi,35,9679,5068,4611,910,2170,222.5,43
Raja Bazar,36,10293,5269,5024,954,2245,60.79,169
Shahganj,36,14400,7840,6560,837,1321,85.1,169
Jaswantpura,37,8827,4417,4410,998,1629,55.26,159
Aurangabad Times Colony,38,9420,4520,4900,1084,1214,51.2,183
Younus Colony,38,7780,3975,3805,957,1422,61.48,126
Babar Colony,39,10425,5307,5118,964,1924,58.87,177
Shrikrishna Nagar,40,8870,4529,4341,958,1465,34.36,258
Shivneri Colony,41,9506,4860,4646,956,1620,55.39,171
Ayodhya Nagar,42,11168,5741,5427,945,1831,36.87,302
Ganesh Nagar,43,8455,4329,4126,953,1321,36.93,228
Rahemania Colony,44,12448,6421,6027,939,2101,60.66,205
Datta Nagar,45,11397,5915,5482,927,2019,79.92,142
Kiradpura,46,10973,5641,5332,945,1841,36.87,297
Roshan Gate,47,6697,3652,3045,834,1602,45.1,148
Sharif Colony,47,10697,5652,5045,893,2323,92.1,116
Kaiser Colony,48,8984,4768,4216,884,1934,58.91,152
Nawabpura,49,11447,5918,5529,934,2659,33.21,344
Moti Karanja,50,9700,5094,4606,904,2150,33.22,291
Auarangpura,51,10524,5426,5098,940,1883,49.89,210
Nageshwarwadi,52,15000,7589,7411,977,1201,18.2,824
Naralibag,52,15586,8045,7541,937,1458,41.2,378
Samarth Nagar,53,11231,5854,5377,919,1826,40.57,276
Sillikhana,54,12270,6362,5908,929,2273,27.63,444
Gandhi Nagar,55,10019,5100,4919,965,1668,33.18,301
Khokadpura,55,17708,8954,8754,978,1654,35.12,504
Jai Bhavani Nagar,56,9696,4951,4745,958,1577,128.18,75
