Ward,Borough
1,N-A
2,N-A
3,N-A
4,N-A
5,N-A
5,NW-A
6,NW-A
7,NW-A
8,NW-A
9,NW-A
10,NW-A
11,N-A
12,N-A
13,N-A
14,N-A
15,N-A
16,N-A
17,NE-A
18,NE-A
19,NE-A
20,E-A
21,E-A
22,E-A
23,E-A
24,NE-A
25,NE-A
26,N-A
27,SE-A
28,N-A
29,NE-A
30,N-A
31,N-A
32,C-A
33,C-A
34,C-A
35,C-A
36,C-A
37,NE-A
38,NE-A
39,NE-A
40,S-A
41,NE-A
42,NE-A
43,S-A
44,NE-A
45,C-A
46,NE-A
47,NE-A
48,NE-A
49,C-A
50,C-A
51,C-A
52,C-A
53,C-A
54,C-A
55,C-A
55,S-A
56,SE-A
57,E-A
58,E-A
59,C-A
60,C-A
61,E-A
62,E-A
63,E-A
64,E-A
65,S-A
66,C-A
67,C-A
68,S-A
69,S-A
70,C-A
71,S-A
72,S-A
73,S-A
74,S-A
75,S-A
76,SE-A
77,SE-A
78,SE-A
79,SE-A
80,SE-A
81,E-A
82,E-A
83,E-A
84,E-A
85,E-A
86,E-A
87,N-A
88,SE-A
89,SE-A
90,SE-A
91,E-A
92,SE-A
93,S-A
94,S-A
95,S-A
96,S-A
97,S-A
98,S-A
99,S-A
100,S-A
101,S-A
102,W-A
103,S-A
104,S-A
105,S-A
106,S-A
107,S-A
108,S-A
109,S-A
110,S-A
111,S-A
112,S-A
113,S-A
114,S-A
115,S-A
116,WAL
117,CAN
118,WAL
119,WAL
