Neighborhood,Latitude,Longitude,Post code
Aarati Nagar,19.9045017,75.366124,
Ajabnagar,19.875788,75.3289894,
Altamash Colony,19.8855728,75.350363,431003
Ambar Hill,19.9307355,75.3241288,
Ambedkarnagar,19.896226,75.36477,
Ambika Nagar,19.8695466,75.3733869,431007
Arif Colony,19.8978269,75.3222113,
Arihant Nagar,19.8720504,75.3400846,
Asifiya Colony,19.8933158,75.319755,
Auarangpura,19.8823216,75.3238076,431001
Aurangabad Airport,19.8673604,75.3936073,431007
Aurangabad Cantonment,19.8790645,75.2881003,
Aurangabad Times Colony,19.8939875,75.3432335,431007
Avishkar Colony,19.8826759,75.3570908,
Ayodhya Nagar,19.8955194,75.3594708,
Babar Colony,19.8940017,75.3490716,
Baijipura,19.882707,75.3495963,
Bajaj Nagar,19.84308,75.22908,
Balkrushna Nagar,19.8618924,75.3516013,
Bansilal Nagar,19.8633175,75.3115969,431002
Bari Colony,19.8866165,75.3454408,
Begumpura,19.8985925,75.3134845,431004
Bhadkal gate,19.8885561,75.318846,431004
Bhagatsingh Nagar,19.9193655,75.3558207,
Bharat Mata Nagar,19.9035155,75.3455915,
Bharat Nagar,19.8673751,75.336667,
Bhavshingpura,19.8962042,75.2952451,
Bhimnagar,19.8927957,75.3032378,
Buddi lane,19.89081,75.3213076,431001
Chelipura,19.889007,75.3345299,
Chikalthana,19.880425,75.3722188,
Cidco N-1,19.879252,75.3644651,
Cidco N-13,19.9095092,75.3397277,
Cidco N-2,19.8862315,75.3496681,
Cidco N-3,19.8721261,75.3611969,431003
Cidco N-4,19.8624887,75.3658675,431003
Cidco N-6,19.882441,75.3526316,431003
Datta Nagar,19.8487945,75.2107492,
Deolai,19.8389035,75.3352393,431136
Dharmapur,19.85567,75.25695,
Eknathnagar,19.8608169,75.319657,
Gadia Vihar,19.8553605,75.3383266,431005
Gajanan Nagar,19.8620575,75.3535334,
Gandhi Nagar,19.8666395,75.3136693,
Ganesh Colony,19.8957739,75.3397351,
Ganesh Nagar,19.8639656,75.350648,
Garkheda,19.860812,75.3460551,
Gulmandi,19.8844335,75.3240996,431001
Gulmohor Colony,19.8825037,75.359466,
Hari Om Nagar,19.8375905,75.3518907,
Harsul,19.9178375,75.3405862,
Honaji Nagar,19.914617,75.3390005,
Indira Nagar,19.8825712,75.3457166,
Itkheda,19.8444994,75.2957224,
Jai Bhavani Nagar,19.8624887,75.3658675,
Jai Vishwa Bharti Colony,19.8648031,75.3374503,
Jaibhim Nagar,19.8944803,75.3176093,431004
Jaisinghpura,19.9117132,75.3156614,
Jaswantpura,19.8892092,75.3390241,
Jawahar Colony,19.87111,75.3457002,
Jyoti Nagar,19.861237,75.3294062,431005
Kabra Nagar,19.8555605,75.3435977,
Kaiser Colony,19.8861085,75.3398613,
Kanchanwadi,19.8362145,75.2797709,
Kasliwal Poorva Housing Society,19.8707894,75.4001237,431007
Khadkeshwar,19.8864288,75.3175726,431001
Khokadpura,19.8812607,75.3276696,
Kiradpura,19.8854671,75.3456751,
Kotla Colony,19.8729545,75.3228402,
Kotwalpura,19.8817575,75.3183008,
Kranti Chowk,19.8733262,75.3263581,
Lota Karanja,19.8889985,75.3314221,
Mahalaxmi Colony,19.8687561,75.3707996,
Maya Nagar,19.8718921,75.3683008,431007
Mayur Nagar,19.9087135,75.3494698,
Mayur Park,19.9120149,75.356948,
Mayurban Colony,19.855268,75.3331025,
Mhasoba Nagar,19.9137589,75.3508881,
MIDC Chikalthana,19.877772,75.3847531,431007
Misarwadi,19.9025445,75.3680526,
Mitmita,19.9014458,75.2613429,
Moti Karanja,19.8841059,75.3314838,
Mukundnagar,19.8598422,75.3778452,431007
Mukundwadi,19.8587276,75.363332,431007
Nageshwarwadi,19.8823506,75.3196209,431001
Nakshtrawadi,19.8131288,75.2872563,431136
Nandanvan Colony,19.8888339,75.3007678,
Naralibag,19.889129,75.31696,431001
Naregaon,19.8936979,75.3840927,431007
Nawabpura,19.884692,75.3361462,
Nyay Nagar,19.8710234,75.3481404,
Osmanpura,19.864257,75.3176637,
Padampura,19.8693124,75.3146972,
Padegaon,19.8864411,75.2749691,
Pahadsingpura,19.9060483,75.3149883,
Parijat Nagar,19.8638098,75.3637916,431003
Pawan Nagar,19.9025155,75.3547616,
Pragati Housing Society,19.8939064,75.3172632,
Prakash Nagar,19.848305,75.2978043,
Pratap nagar,19.8578402,75.3243551,
Pundlik Nagar,19.8657535,75.3517558,
Radhaswami Colony,19.9189893,75.3406173,
Rahemania Colony,19.8878863,75.3464216,
Rahul Nagar,19.8599895,75.297246,
Railway Station,19.8600719,75.264415,431005
Raja Bazar,19.8857447,75.3352243,
Ram Nagar,19.8693927,75.3836133,
Ramanagar,19.870462,75.3311408,
Rauza Bagh,19.9050887,75.3409819,
Roshan Gate,19.8879554,75.3429077,
S.T.Colony,19.9066322,75.358101,
Samarth Nagar,19.8787005,75.3180298,431001
Sangharsh Nagar,19.1062562,72.8974189,
Sangram Nagar,19.840713,75.3246238,431005
Sanjay Nagar,19.8700685,75.3773098,
Satara Parisar,19.848305,75.2978043,
Satyam Nagar,19.8866614,75.3605103,
Savitri Nagar,19.8656024,75.3969215,431007
Shahganj,19.8917922,75.3347958,
Shahnoorwadi,19.85889,"75.3224496,16",431005
Shantipura,19.8836666,75.3014376,
Sharif Colony,19.890083,75.3420109,
Shivaji Nagar,19.8595901,75.3410221,431005
Shivneri Colony,19.8980446,75.3590053,
Shrikrishna Nagar,19.8621024,75.3357433,
Sillikhana,19.8776273,75.3258196,431002
Sudarshan Nagar,19.9050269,75.3521953,
Sudhakar Nagar,19.8360543,75.309579,431009
Surana Nagar,19.87641,75.3487283,
Swami Vivekanand Nagar,19.8655737,75.3552037,431002
Thakare Nagar,19.8671555,75.3674343,
Ulkanagari,19.8630545,75.3370762,431005
Vedant Nagar,19.861578,75.3149884,
Vidya Nagar,19.8721834,75.3514756,
Vishnu Nagar,19.8742407,75.3400824,
Vishranti Nagar,19.8598355,75.3635651,
Vittalnagar,19.8685831,75.3831419,
Waluj,19.83267,75.19974,
Wankhede Nagar,19.9095184,75.3344342,
Yadav Nagar,19.9102575,75.3455483,
Younus Colony,19.8926761,75.341841,
Banjara Colony,19.87888,75.32983,
Disha Nagari,19.8485,75.31521,431006
Navkhanda,19.89372,75.32181,431004
