Neighborhood,Ward,Latitude,Longitude,Borough,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Harsul,1,19.9178375,75.3405862,N-A,11304,6548,4756,726,1257,2894.8,3,4455,3076,5833,3
Bhagatsingh Nagar,2,19.9193655,75.3558207,N-A,16339,8015,8324,1039,2786,232.38,70,4854,3120,6587,5
Mhasoba Nagar,2,19.913758899999998,75.3508881,N-A,15245,8658,6587,761,4275,365.5,41,2932,2351,3512,3
Radhaswami Colony,3,19.9189893,75.3406173,N-A,10226,5374,4852,903,2238,295.12,34,2250,1258,3241,2
Ambar Hill,4,19.9307355,75.3241288,N-A,21406,11586,9820,848,4002,458.7,46,1299,854,1744,1
Begumpura,5,19.8985925,75.3134845,NW-A,9003,4341,4662,1074,1655,485.05,18,3640,2769,4511,2
Pahadsingpura,5,19.906048300000002,75.3149883,NW-A,6715,3514,3201,911,1244,758.5,8,5341,4785,5896,2
Bhimnagar,6,19.8927957,75.3032378,NW-A,7595,3872,3723,962,1596,68.72,110,2925,2378,3471,3
Padegaon,7,19.886441100000003,75.2749691,NW-A,12411,6200,6211,1002,1410,89.57,138,4202,1866,6538,26
Mitmita,8,19.9014458,75.2613429,NW-A,22443,11651,10792,926,4497,757.5,29,3450,2700,4200,1
Bhavshingpura,9,19.8962042,75.2952451,NW-A,10928,5396,5532,1025,2296,237.59,45,4447,2347,6547,1
Nandanvan Colony,10,19.888833899999998,75.3007678,NW-A,6129,2843,3286,1156,796,661.06,9,2767,2547,2986,3
Shantipura,10,19.8836666,75.3014376,NW-A,3279,1868,1411,755,968,398.2,8,2110,1010,3210,2
Jaisinghpura,11,19.911713199999998,75.3156614,N-A,7866,4283,3583,837,1269,478.13,16,4591,2560,6622,1
Arif Colony,12,19.8978269,75.3222113,N-A,3780,1925,1855,964,510,94.8,39,2346,1240,3452,2
